08/03/2023 18:49:53 - root - INFO - Generating deck...
08/03/2023 18:49:53 - root - DEBUG - Two of Hearts
08/03/2023 18:49:53 - root - DEBUG - Three of Hearts
08/03/2023 18:49:53 - root - DEBUG - Four of Hearts
08/03/2023 18:49:53 - root - DEBUG - Five of Hearts
08/03/2023 18:49:53 - root - DEBUG - Six of Hearts
08/03/2023 18:49:53 - root - DEBUG - Seven of Hearts
08/03/2023 18:49:53 - root - DEBUG - Eight of Hearts
08/03/2023 18:49:53 - root - DEBUG - Nine of Hearts
08/03/2023 18:49:53 - root - DEBUG - Ten of Hearts
08/03/2023 18:49:53 - root - DEBUG - Jack of Hearts
08/03/2023 18:49:53 - root - DEBUG - Queen of Hearts
08/03/2023 18:49:53 - root - DEBUG - King of Hearts
08/03/2023 18:49:53 - root - DEBUG - Ace of Hearts
08/03/2023 18:49:53 - root - DEBUG - Two of Diamonds
08/03/2023 18:49:53 - root - DEBUG - Three of Diamonds
08/03/2023 18:49:53 - root - DEBUG - Four of Diamonds
08/03/2023 18:49:53 - root - DEBUG - Five of Diamonds
08/03/2023 18:49:53 - root - DEBUG - Six of Diamonds
08/03/2023 18:49:53 - root - DEBUG - Seven of Diamonds
08/03/2023 18:49:53 - root - DEBUG - Eight of Diamonds
08/03/2023 18:49:53 - root - DEBUG - Nine of Diamonds
08/03/2023 18:49:53 - root - DEBUG - Ten of Diamonds
08/03/2023 18:49:53 - root - DEBUG - Jack of Diamonds
08/03/2023 18:49:53 - root - DEBUG - Queen of Diamonds
08/03/2023 18:49:53 - root - DEBUG - King of Diamonds
08/03/2023 18:49:53 - root - DEBUG - Ace of Diamonds
08/03/2023 18:49:53 - root - DEBUG - Two of Clubs
08/03/2023 18:49:53 - root - DEBUG - Three of Clubs
08/03/2023 18:49:53 - root - DEBUG - Four of Clubs
08/03/2023 18:49:53 - root - DEBUG - Five of Clubs
08/03/2023 18:49:53 - root - DEBUG - Six of Clubs
08/03/2023 18:49:53 - root - DEBUG - Seven of Clubs
08/03/2023 18:49:53 - root - DEBUG - Eight of Clubs
08/03/2023 18:49:53 - root - DEBUG - Nine of Clubs
08/03/2023 18:49:53 - root - DEBUG - Ten of Clubs
08/03/2023 18:49:53 - root - DEBUG - Jack of Clubs
08/03/2023 18:49:53 - root - DEBUG - Queen of Clubs
08/03/2023 18:49:53 - root - DEBUG - King of Clubs
08/03/2023 18:49:53 - root - DEBUG - Ace of Clubs
08/03/2023 18:49:53 - root - DEBUG - Two of Spades
08/03/2023 18:49:53 - root - DEBUG - Three of Spades
08/03/2023 18:49:53 - root - DEBUG - Four of Spades
08/03/2023 18:49:53 - root - DEBUG - Five of Spades
08/03/2023 18:49:53 - root - DEBUG - Six of Spades
08/03/2023 18:49:53 - root - DEBUG - Seven of Spades
08/03/2023 18:49:53 - root - DEBUG - Eight of Spades
08/03/2023 18:49:53 - root - DEBUG - Nine of Spades
08/03/2023 18:49:53 - root - DEBUG - Ten of Spades
08/03/2023 18:49:53 - root - DEBUG - Jack of Spades
08/03/2023 18:49:53 - root - DEBUG - Queen of Spades
08/03/2023 18:49:53 - root - DEBUG - King of Spades
08/03/2023 18:49:53 - root - DEBUG - Ace of Spades
08/03/2023 18:49:53 - root - DEBUG - 
 Generating deck after shuffling:

08/03/2023 18:49:53 - root - DEBUG - Six of Hearts
08/03/2023 18:49:53 - root - DEBUG - Queen of Spades
08/03/2023 18:49:53 - root - DEBUG - Ace of Clubs
08/03/2023 18:49:53 - root - DEBUG - Jack of Spades
08/03/2023 18:49:53 - root - DEBUG - Two of Hearts
08/03/2023 18:49:53 - root - DEBUG - Jack of Hearts
08/03/2023 18:49:53 - root - DEBUG - Ten of Clubs
08/03/2023 18:49:53 - root - DEBUG - Three of Diamonds
08/03/2023 18:49:53 - root - DEBUG - Jack of Diamonds
08/03/2023 18:49:53 - root - DEBUG - Two of Spades
08/03/2023 18:49:53 - root - DEBUG - Seven of Diamonds
08/03/2023 18:49:53 - root - DEBUG - Ace of Spades
08/03/2023 18:49:53 - root - DEBUG - Eight of Spades
08/03/2023 18:49:53 - root - DEBUG - Two of Clubs
08/03/2023 18:49:53 - root - DEBUG - Nine of Spades
08/03/2023 18:49:53 - root - DEBUG - King of Clubs
08/03/2023 18:49:53 - root - DEBUG - Queen of Clubs
08/03/2023 18:49:53 - root - DEBUG - Seven of Hearts
08/03/2023 18:49:53 - root - DEBUG - Three of Spades
08/03/2023 18:49:53 - root - DEBUG - Seven of Spades
08/03/2023 18:49:53 - root - DEBUG - King of Diamonds
08/03/2023 18:49:53 - root - DEBUG - Six of Diamonds
08/03/2023 18:49:53 - root - DEBUG - Ten of Spades
08/03/2023 18:49:53 - root - DEBUG - Ten of Diamonds
08/03/2023 18:49:53 - root - DEBUG - Nine of Diamonds
08/03/2023 18:49:53 - root - DEBUG - Queen of Diamonds
08/03/2023 18:49:53 - root - DEBUG - Four of Hearts
08/03/2023 18:49:53 - root - DEBUG - Eight of Hearts
08/03/2023 18:49:53 - root - DEBUG - Ace of Diamonds
08/03/2023 18:49:53 - root - DEBUG - Four of Spades
08/03/2023 18:49:53 - root - DEBUG - Five of Hearts
08/03/2023 18:49:53 - root - DEBUG - Nine of Clubs
08/03/2023 18:49:53 - root - DEBUG - Nine of Hearts
08/03/2023 18:49:53 - root - DEBUG - Queen of Hearts
08/03/2023 18:49:53 - root - DEBUG - Six of Clubs
08/03/2023 18:49:53 - root - DEBUG - Five of Spades
08/03/2023 18:49:53 - root - DEBUG - Ten of Hearts
08/03/2023 18:49:53 - root - DEBUG - King of Hearts
08/03/2023 18:49:53 - root - DEBUG - Five of Clubs
08/03/2023 18:49:53 - root - DEBUG - Seven of Clubs
08/03/2023 18:49:53 - root - DEBUG - Four of Clubs
08/03/2023 18:49:53 - root - DEBUG - Three of Hearts
08/03/2023 18:49:53 - root - DEBUG - Six of Spades
08/03/2023 18:49:53 - root - DEBUG - Three of Clubs
08/03/2023 18:49:53 - root - DEBUG - Eight of Clubs
08/03/2023 18:49:53 - root - DEBUG - Five of Diamonds
08/03/2023 18:49:53 - root - DEBUG - Eight of Diamonds
08/03/2023 18:49:53 - root - DEBUG - Two of Diamonds
08/03/2023 18:49:53 - root - DEBUG - Ace of Hearts
08/03/2023 18:49:53 - root - DEBUG - Four of Diamonds
08/03/2023 18:49:53 - root - DEBUG - Jack of Clubs
08/03/2023 18:49:53 - root - DEBUG - King of Spades
08/03/2023 18:49:53 - root - DEBUG - 1 Gytis card: King of Spades
08/03/2023 18:49:53 - root - DEBUG - 1 computer card: Jack of Clubs
08/03/2023 18:49:53 - root - DEBUG - 2 Gytis card: King of Spades and Four of Diamonds
08/03/2023 18:49:53 - root - DEBUG - 2 computer card: Jack of Clubs and Ace of Hearts
08/03/2023 18:49:53 - root - DEBUG - 
 Just checking how many cards left after cards added to hand:

08/03/2023 18:49:53 - root - DEBUG - Six of Hearts
08/03/2023 18:49:53 - root - DEBUG - Queen of Spades
08/03/2023 18:49:53 - root - DEBUG - Ace of Clubs
08/03/2023 18:49:53 - root - DEBUG - Jack of Spades
08/03/2023 18:49:53 - root - DEBUG - Two of Hearts
08/03/2023 18:49:53 - root - DEBUG - Jack of Hearts
08/03/2023 18:49:53 - root - DEBUG - Ten of Clubs
08/03/2023 18:49:53 - root - DEBUG - Three of Diamonds
08/03/2023 18:49:53 - root - DEBUG - Jack of Diamonds
08/03/2023 18:49:53 - root - DEBUG - Two of Spades
08/03/2023 18:49:53 - root - DEBUG - Seven of Diamonds
08/03/2023 18:49:53 - root - DEBUG - Ace of Spades
08/03/2023 18:49:53 - root - DEBUG - Eight of Spades
08/03/2023 18:49:53 - root - DEBUG - Two of Clubs
08/03/2023 18:49:53 - root - DEBUG - Nine of Spades
08/03/2023 18:49:53 - root - DEBUG - King of Clubs
08/03/2023 18:49:53 - root - DEBUG - Queen of Clubs
08/03/2023 18:49:53 - root - DEBUG - Seven of Hearts
08/03/2023 18:49:53 - root - DEBUG - Three of Spades
08/03/2023 18:49:53 - root - DEBUG - Seven of Spades
08/03/2023 18:49:53 - root - DEBUG - King of Diamonds
08/03/2023 18:49:53 - root - DEBUG - Six of Diamonds
08/03/2023 18:49:53 - root - DEBUG - Ten of Spades
08/03/2023 18:49:53 - root - DEBUG - Ten of Diamonds
08/03/2023 18:49:53 - root - DEBUG - Nine of Diamonds
08/03/2023 18:49:53 - root - DEBUG - Queen of Diamonds
08/03/2023 18:49:53 - root - DEBUG - Four of Hearts
08/03/2023 18:49:53 - root - DEBUG - Eight of Hearts
08/03/2023 18:49:53 - root - DEBUG - Ace of Diamonds
08/03/2023 18:49:53 - root - DEBUG - Four of Spades
08/03/2023 18:49:53 - root - DEBUG - Five of Hearts
08/03/2023 18:49:53 - root - DEBUG - Nine of Clubs
08/03/2023 18:49:53 - root - DEBUG - Nine of Hearts
08/03/2023 18:49:53 - root - DEBUG - Queen of Hearts
08/03/2023 18:49:53 - root - DEBUG - Six of Clubs
08/03/2023 18:49:53 - root - DEBUG - Five of Spades
08/03/2023 18:49:53 - root - DEBUG - Ten of Hearts
08/03/2023 18:49:53 - root - DEBUG - King of Hearts
08/03/2023 18:49:53 - root - DEBUG - Five of Clubs
08/03/2023 18:49:53 - root - DEBUG - Seven of Clubs
08/03/2023 18:49:53 - root - DEBUG - Four of Clubs
08/03/2023 18:49:53 - root - DEBUG - Three of Hearts
08/03/2023 18:49:53 - root - DEBUG - Six of Spades
08/03/2023 18:49:53 - root - DEBUG - Three of Clubs
08/03/2023 18:49:53 - root - DEBUG - Eight of Clubs
08/03/2023 18:49:53 - root - DEBUG - Five of Diamonds
08/03/2023 18:49:53 - root - DEBUG - Eight of Diamonds
08/03/2023 18:49:53 - root - DEBUG - Two of Diamonds
